,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
16732,CPT_Pharmacometrics_Syst_Pharmacol/PMC4759708.nxml,0.0,Scott Rasmussen,investigators;study;coordinators;study;technicians;support,,"We also thank Dr Scott Rasmussen, all clinical investigators, and all study coordinators for conducting the study and technicians for technical support. 
 ",thank;conduct
16734,CPT_Pharmacometrics_Syst_Pharmacol/PMC4761233.nxml,0.0,Lawrence Livermore National Laboratory,work;auspices;DE‐AC52‐07NA27344,the U.S. Department of Energy,The work was performed under the auspices of the U.S. Department of Energy by Lawrence Livermore National Laboratory under Contract DE‐AC52‐07NA27344.,perform
16741,CPT_Pharmacometrics_Syst_Pharmacol/PMC4807435.nxml,1.0,Angela Kashuba,supervision;drug;concentration;analysis;discussions;oversight;study,,"They thank Dr. Angela Kashuba for supervision of drug concentration analysis, helpful discussions, and oversight of the original clinical study.",thank
16743,CPT_Pharmacometrics_Syst_Pharmacol/PMC4807465.nxml,0.0,Bernard Walther,authors;advice;pharmacogenetics,Institut de Recherches Internationales,The authors thank Laurent Ripoll and Bernard Walther from Institut de Recherches Internationales Servier for their advice in pharmacogenetics.,thank
16744,CPT_Pharmacometrics_Syst_Pharmacol/PMC4846779.nxml,0.0,Boris Bui,authors;staff;assistance;collection;data;laboratory;work,,"The authors thank all staff for their assistance in the collection of data, especially Mr. Boris Bui for the laboratory work.",thank
16746,CPT_Pharmacometrics_Syst_Pharmacol/PMC4873565.nxml,1.0,Amina Jindani,authors;sharing;data,,The authors are grateful for the sharing of data by Dr. Amina Jindani.,
16750,CPT_Pharmacometrics_Syst_Pharmacol/PMC4961077.nxml,0.0,Johannes Proost,notice;behavior;model,Amit Taneja,Johannes Proost and Amit Taneja for bringing to our notice the counterintuitive behavior of the PF model.,bring
16752,CPT_Pharmacometrics_Syst_Pharmacol/PMC4879474.nxml,0.0,Paul van Giersbergen,authors;assistance,Van Giersbergen Consulting,"The authors thank Paul van Giersbergen, Van Giersbergen Consulting, Wuenheim, France, for editorial assistance.",thank
16757,CPT_Pharmacometrics_Syst_Pharmacol/PMC4999602.nxml,0.0,Tim Reason,discussions;dose;models,N.J.W.,S.D. and N.J.W. would like to thank Tim Reason for discussions on dose models.,like;thank
16758,CPT_Pharmacometrics_Syst_Pharmacol/PMC5006244.nxml,0.0,Jonathan Herman,discussions;software;sensitivity;analysis,Cornell University,We thank Jonathan Herman at Cornell University for all the useful discussions and software for Sobol sensitivity analysis.,thank
16759,CPT_Pharmacometrics_Syst_Pharmacol/PMC4999604.nxml,1.0,Paula Mobberley‐Schuman,access;information,,We thank Paula Mobberley‐Schuman for facilitating access to the clinical information and Drs.,thank;facilitate
16761,CPT_Pharmacometrics_Syst_Pharmacol/PMC4999605.nxml,0.0,Alan Hofmann,authors;feedback;model;development,,The authors acknowledge the constructive feedback provided by Dr. Alan Hofmann during the model development.,acknowledge;provide
16764,CPT_Pharmacometrics_Syst_Pharmacol/PMC5036421.nxml,0.0,Jeroen Elassais‐Schaap,authors;modeling;advice,,The authors would like to thank Jeroen Elassais‐Schaap for providing expert modeling advice.,like;thank;provide
16769,CPT_Pharmacometrics_Syst_Pharmacol/PMC5080652.nxml,0.0,Hugh Barton,manuscript;suggestions,,We thank Hugh Barton for critically reviewing the manuscript and providing helpful suggestions to improve it.,thank;review;provide;improve
16770,CPT_Pharmacometrics_Syst_Pharmacol/PMC5192972.nxml,1.0,Emilie Schindler,authors;comments;article,,The authors thank Emilie Schindler for valuable comments on the article.,thank
16772,CPT_Pharmacometrics_Syst_Pharmacol/PMC5131889.nxml,0.0,Gregory J. Hather,comments;proofreading,D.J.C.,D.J.C. would like to acknowledge Gregory J. Hather for his insightful comments and careful proofreading.,like;acknowledge
16773,CPT_Pharmacometrics_Syst_Pharmacol/PMC5131886.nxml,0.0,Robert Straubinger,suggestions;guidance,,We thank Dr. Robert Straubinger for suggestions and general guidance.,thank
16774,CPT_Pharmacometrics_Syst_Pharmacol/PMC5192992.nxml,1.0,Marion Müller,data,Hesham,"I am very grateful to Hesham Al‐Sallami and Marion Müller for providing the glucose‐insulin data that was used to construct  Figure 
 3 .",provide;construct
16776,CPT_Pharmacometrics_Syst_Pharmacol/PMC5192992.nxml,0.0,George Box,work;work,,"Finally, much of this work was stimulated by the work of George Box.",stimulate
16777,CPT_Pharmacometrics_Syst_Pharmacol/PMC5193000.nxml,0.0,Lambertus A. Peletier,authors;discussions;model,,The authors thank Lambertus A. Peletier for insightful discussions on the model.,thank
16782,CPT_Pharmacometrics_Syst_Pharmacol/PMC5270295.nxml,0.0,Roger Dansey,review;manuscript,"Merck & Co., Inc.","Roger Dansey (Merck & Co., Inc.) provided critical review of the manuscript.",provide
16783,CPT_Pharmacometrics_Syst_Pharmacol/PMC5270295.nxml,1.0,Anna Kondic,review;support;preparation;manuscript,"Merck & Co., Inc.","Anna Kondic (Merck & Co., Inc.) provided critical review and support in preparation of the manuscript.",provide
16784,CPT_Pharmacometrics_Syst_Pharmacol/PMC5270295.nxml,1.0,Marielle van Zutphen,data;analysis;support,"Merck & Co., Inc.","Pharmacokinetic data analysis support was provided by Marielle van Zutphen (Merck & Co., Inc.).",provide
16788,CPT_Pharmacometrics_Syst_Pharmacol/PMC5270291.nxml,0.0,Roger Dansey,support;review;manuscript,"Kenilworth;NJ;Merck & Co., Inc.;Kenilworth;NJ","(Kenilworth, NJ) for technical support and Roger Dansey of Merck & Co., Inc. (Kenilworth, NJ) for critical review of the manuscript.",
16792,CPT_Pharmacometrics_Syst_Pharmacol/PMC5321813.nxml,0.0,René Bruno,authors;chair;involvement;preparation;tutorial,the ISoP Best Practice Committee,"The authors would like also to thank René Bruno, chair of the ISoP Best Practice Committee, for his involvement in the preparation of the tutorial.",like;thank
16794,CPT_Pharmacometrics_Syst_Pharmacol/PMC5321807.nxml,1.0,Angela Kashuba,oversight;drug;concentration;analysis,Analytical Chemistry Laboratory,We also thank Angela Kashuba for oversight of drug concentration analysis in the UNC Center for AIDS Research Clinical Pharmacology and Analytical Chemistry Laboratory.,thank
16798,CPT_Pharmacometrics_Syst_Pharmacol/PMC4834131.nxml,1.0,Erica Bäckström,gratitude;measurements;lung;volume;distribution,FP,"Finally, gratitude is also extended to Erica Bäckström for kindly providing measurements of the unbound lung volume of distribution for FP.",extend;provide
16800,CPT_Pharmacometrics_Syst_Pharmacol/PMC5397562.nxml,1.0,Susan K. Paulson,PhD;draft;manuscript,Paulson PK Consulting,"Susan K. Paulson, PhD, of Paulson PK Consulting, LLC, assisted with the first draft of this manuscript.",assist
16803,CPT_Pharmacometrics_Syst_Pharmacol/PMC5445231.nxml,1.0,Parul Patel,support;fellowship,AstraZeneca,AstraZeneca provided support for Dr. Parul Patel's postdoctoral fellowship.,provide
16815,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Janice M. Massey,,,"I), Janice M. Massey, MD",
16816,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Lisa D. Hobson–Webb,,,"I), Lisa D. Hobson–Webb, MD",
16817,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Katherine Beck,coordinator,,"I), Katherine Beck, RN (coordinator).",
16821,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,0.0,Christopher Lee,,MPH,"I), Christopher Lee, MD, MPH",
16822,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Kay Artibee,co;I;coordinator,RN Med,"(co–I), Kay Artibee, RN Med (coordinator).",
16824,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Ghazaleh Jafari,co–,,"I), Ghazaleh Jafari, MD (co–",
16825,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Julie Khoury,co–,,"I), Julie Khoury, MD (co–",
16827,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,1.0,Diana Dimitrova,PhD;coordinator,,"I), Diana Dimitrova, PhD (coordinator).",
16829,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613184.nxml,0.0,John Kincaid,,,"I), John Kincaid, MD",
16833,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613187.nxml,0.0,Christopher Mehl,thanks;discussions;model;development,,A special thanks to Christopher Mehl from Certara for helpful discussions on model development.,
16835,CPT_Pharmacometrics_Syst_Pharmacol/PMC5613186.nxml,1.0,Danielle Klootwijk,assistance;genotyping,,We thank Danielle Klootwijk for her assistance in SNP genotyping.,thank
16840,CPT_Pharmacometrics_Syst_Pharmacol/PMC5658285.nxml,0.0,Aleksey Alekseev,authors;team;support;support;calculations,,The authors are grateful to the InSysBio team for technical and theoretical support and Aleksey Alekseev for technical support of calculations.,
16844,CPT_Pharmacometrics_Syst_Pharmacol/PMC5702897.nxml,0.0,Bert Lum,thanks;review;article,,Special thanks to Dr. Bert Lum for critical review and feedback on the article.,feedback
16846,CPT_Pharmacometrics_Syst_Pharmacol/PMC5706346.nxml,0.0,Mark Wainberg,dedication;passion;cause;admiration,,"To Dr. Mark Wainberg, whose dedication and passion for the HIV cause will continue to inspire us and elicit our admiration.",continue;inspire;elicit
16847,CPT_Pharmacometrics_Syst_Pharmacol/PMC5706346.nxml,1.0,Lindsay L. Gordon,authors;help;study;details;data;use;efavirenz;monotherapy,ViiV Healthcare,"The authors acknowledge the help of Lindsay L. Gordon in clarifying study details, and ViiV Healthcare for providing data regarding the use of efavirenz monotherapy.",acknowledge;clarify;provide
16848,CPT_Pharmacometrics_Syst_Pharmacol/PMC5744175.nxml,1.0,Tomomi Ogino,authors;assistance,Daisuke Suzuki,The authors thank Daisuke Suzuki and Tomomi Ogino for their assistance.,thank
16855,CPT_Pharmacometrics_Syst_Pharmacol/PMC5824121.nxml,1.0,Vivi Rottschäfer,discussions;mathematics,FdRA,We would like to acknowledge the discussions with Vivi Rottschäfer on the mathematics behind FdRA.,like;acknowledge
16856,CPT_Pharmacometrics_Syst_Pharmacol/PMC5824121.nxml,1.0,Swantje Völler,manuscript,,"Furthermore, we would like to thank Swantje Völler for reading and commenting on the manuscript.",like;thank;read;comment
16857,CPT_Pharmacometrics_Syst_Pharmacol/PMC5824107.nxml,0.0,Jordan Gongora,authors;design;support,Biomedical Sciences;Iowa State University,"The authors would like to thank Jordan Gongora (Biomedical Sciences, Iowa State University) for her graphic design support.",like;thank
16858,CPT_Pharmacometrics_Syst_Pharmacol/PMC5869550.nxml,1.0,Mira Hinman,authors;support;work;support;analysis,the IQ Drug Metabolism Leadership Group (DMLG,The authors thank the IQ Drug Metabolism Leadership Group (DMLG) for their support of this work and Mira Hinman for additional support in the Spotfire analysis.,thank
16860,CPT_Pharmacometrics_Syst_Pharmacol/PMC5869547.nxml,0.0,Mike Mikailov,Assistance;computation;efficiency;computer;scientist,,"Assistance on using Betsy and computation efficiency by Dr Mike Mikailov (computer scientist, CDRH) is appreciated.",appreciate
16861,CPT_Pharmacometrics_Syst_Pharmacol/PMC5869547.nxml,1.0,Hui Zou,discussion;net,University of Minnesota,"Helpful discussion about elastic net with Dr Hui Zou (Professor of Statistics, University of Minnesota) is appreciated.",appreciate
16862,CPT_Pharmacometrics_Syst_Pharmacol/PMC5869547.nxml,0.0,David Strauss,Comments;contractility;cardiomyopathy,"Division Director;Division of Applied Regulatory Science, Office of Clinical Pharmacology","Comments on cardiac contractility and cardiomyopathy by Dr David Strauss (Division Director, Division of Applied Regulatory Science, Office of Clinical Pharmacology) are appreciated.",appreciate
16864,CPT_Pharmacometrics_Syst_Pharmacol/PMC5869560.nxml,0.0,Matthew Hutmacher,authors;contributions;study;field;pharmacometrics,,The authors would also like to note the contributions of the late Matthew Hutmacher to this study and to the field of pharmacometrics.,like;note
16865,CPT_Pharmacometrics_Syst_Pharmacol/PMC5915608.nxml,0.0,Mats Karlsson,author;thanks;inputs;comments;tutorial,,The author thanks Elodie Plan and Mats Karlsson for many useful inputs and valuable comments to this tutorial.,
16874,CPT_Pharmacometrics_Syst_Pharmacol/PMC6063742.nxml,1.0,Min Dong,authors;discussions,Brooks McPhail,The authors thank Drs Min Dong and Brooks McPhail for their scientific discussions.,thank
16887,Calcif_Tissue_Int/PMC2768795.nxml,0.0,Yong Jun Choi,manuscript;preparation,,We thank Yong Jun Choi for manuscript preparation.,thank
16891,Calcif_Tissue_Int/PMC2978887.nxml,1.0,Gail P. Dalsky,Editorial;assistance;PhD;employee,Eli Lilly and Company,"Editorial assistance was provided by Gail P. Dalsky, PhD, an employee of Eli Lilly and Company.",provide
16895,Calcif_Tissue_Int/PMC2887935.nxml,0.0,Jan Erik Madsen,help;animal;surgery,,"Finally, Jan Erik Madsen and Sigbjorn Dimmen are acknowledged for help with animal surgery.",acknowledge
16898,Calcif_Tissue_Int/PMC3135830.nxml,0.0,Jon Nilsen,authors;assistance,"Amgen, Inc.","The authors thank Jon Nilsen, PhD (Amgen, Inc.), for editorial assistance.",thank
16901,Calcif_Tissue_Int/PMC3215872.nxml,0.0,Frederick Wu,information;EMAS;contact,Department of Endocrinology;Manchester Royal Infirmary,"For additional information regarding EMAS, contact Frederick Wu, MD; Department of Endocrinology, Manchester Royal Infirmary, Manchester, UK.",
16904,Calcif_Tissue_Int/PMC3215881.nxml,1.0,Holly Gilbert-Jones,Editorial;assistance,BioScience Communications,Editorial assistance was provided by Holly Gilbert-Jones of BioScience Communications.,provide
16905,Calcif_Tissue_Int/PMC3030947.nxml,0.0,Howard Morris,gift;CYP27B1;promoter;luciferase;construct,Hanson Institute,"We are grateful to Prof. Howard Morris (Hanson Institute, Adelaide, Australia) for his generous gift of the CYP27B1 promoter-luciferase construct, and to Assoc.",
16906,Calcif_Tissue_Int/PMC3030947.nxml,1.0,Emma Duncan,review;manuscript,Diamantina Institute;University of Queensland,"Prof. Emma Duncan (Diamantina Institute, University of Queensland, Woolloongaba, Australia) for her helpful review of the manuscript.",
16907,Calcif_Tissue_Int/PMC3021190.nxml,0.0,Lars Mulder,illustration,"Functional Anatomy, Academic Center for Dentistry Amsterdam","Dr. Lars Mulder (Functional Anatomy, Academic Center for Dentistry Amsterdam, Amsterdam, The Netherlands) is acknowledged for providing the microCT illustration of Fig.  ",lar;acknowledge;provide
16910,Calcif_Tissue_Int/PMC3110278.nxml,1.0,The J. David Gladstone Institutes,support,a National Center for Research Resources Grant,The J. David Gladstone Institutes received support from a National Center for Research Resources Grant (RR18928-01).,receive
16913,Calcif_Tissue_Int/PMC3075393.nxml,0.0,Marc A. Meyers,A.;insights;enthusiasm;support;project,,"Professor Marc A. Meyers is especially thanked for his valuable insights, enthusiasm for, and support of this project.",thank
16917,Calcif_Tissue_Int/PMC3271215.nxml,1.0,Christine Duncan,authors;help;work;article,Hayleigh Plant,The authors acknowledge the help of Christine Duncan and Hayleigh Plant during the preliminary work for this article.,acknowledge
16919,Calcif_Tissue_Int/PMC4239781.nxml,0.0,Hiroshi Hagino,fees,Asahi Kasei Pharma Corp.;Astellas Pharma Inc.;Banyu Pharmaceutical Co. Ltd.;Chugai Pharmaceutical Co. Ltd.;Eisai Co. Ltd.;Eli Lilly Japan K.K.;Mitsubishi Tanabe Pharma Corp.;Ono Pharmaceutical Co. Ltd.;Pfizer Inc.;Takeda Pharmaceutical Co. Ltd.;Teijin Pharma Ltd.,"Hiroshi Hagino has received consulting fees from Asahi Kasei Pharma Corp., Astellas Pharma Inc., Banyu Pharmaceutical Co. Ltd., Chugai Pharmaceutical Co. Ltd., Eisai Co. Ltd., Eli Lilly Japan K.K., Mitsubishi Tanabe Pharma Corp., Ono Pharmaceutical Co. Ltd., Pfizer Inc., Takeda Pharmaceutical Co. Ltd., and Teijin Pharma Ltd.",receive;consult
